Company,Ticker,Market Cap,Price,Daily Change (%),Country
PC Connection,CNXN,1150000000.0,44.03,-1.59,USA
AAR,AIR,1150000000.0,32.43,-0.43,USA
FREYR Battery,FREY,1140000000.0,9.87,-2.95,Luxembourg
Standard Lithium,SLI,1140000000.0,8.13,1.75,Canada
Enanta Pharmaceuticals,ENTA,1140000000.0,56.81,1.25,USA
ImmunoGen,IMGN,1140000000.0,5.67,0.53,USA
Tivity Health,TVTY,1140000000.0,23.06,-1.62,USA
Multi Commodity Exchange,MCX.NS,1140000000.0,22.38,0.1,India
National Energy Services Reunited,NESR,1140000000.0,12.52,1.62,USA
MTS Systems Corporation,MTSC,1130000000.0,58.49,0.0,USA
PGT Innovations,PGTI,1130000000.0,19.1,-3.09,USA
Mensch und Maschine,MUM.F,1130000000.0,67.57,-1.36,Germany
Celestica,CLS,1130000000.0,8.88,-1.33,Canada
Jindal Stainless,JSL.NS,1130000000.0,2.25,2.96,India
Sandstorm Gold,SAND,1120000000.0,5.76,2.86,Canada
Imax Corp,IMAX,1120000000.0,18.98,1.12,Canada
Lydall,LDL,1110000000.0,62.09,0.02,USA
Veeco,VECO,1110000000.0,22.21,0.95,USA
AdvanSix,ASIX,1110000000.0,39.75,-1.14,USA
Employers Holdings,EIG,1110000000.0,39.49,-1.62,USA
Community Healthcare Trust,CHCT,1110000000.0,45.19,-2.4,USA
Juventus Turin,JUVE.MI,1110000000.0,0.84,-0.21,Italy
NexTier Oilfield,NEX,1110000000.0,4.6,-2.34,USA
Varex Imaging,VREX,1110000000.0,28.2,-1.3,USA
REV Group,REVG,1110000000.0,17.16,-3.6,USA
Finnair,FIA1S.HE,1100000000.0,0.79,-1.51,Finland
YIT,YIT.HE,1100000000.0,5.31,-1.47,Finland
Hawaiian Airlines,HA,1100000000.0,21.66,-2.34,USA
The Children's Place,PLCE,1100000000.0,75.26,-11.31,USA
Rain Industries,RAIN.NS,1100000000.0,3.29,1.41,India
Matthews International Corporation,MATW,1090000000.0,34.69,-1.56,USA
DHT Holdings,DHT,1090000000.0,6.53,3.65,Bermuda
Essel Propack,ESSELPACK.NS,1090000000.0,3.48,0.26,India
Meridian Bancorp,EBSB,1090000000.0,20.76,-1.89,USA
Schweitzer-Mauduit International,SWM,1090000000.0,34.66,-2.99,USA
EIH Limited,EIHOTEL.NS,1090000000.0,1.74,-0.39,India
Brigham Minerals,MNRL,1080000000.0,19.16,-1.84,USA
Energy Recovery,ERII,1080000000.0,19.03,-0.94,USA
AMERISAFE,AMSF,1080000000.0,56.16,-0.81,USA
Banco Macro,BMA,1080000000.0,16.99,0.83,Argentina
UMH Properties,UMH,1080000000.0,22.9,-2.39,USA
MannKind Corp,MNKD,1080000000.0,4.35,-2.9,USA
Knr Constructions,KNRCON.NS,1080000000.0,3.86,-0.23,India
American Woodmark,AMWD,1080000000.0,65.37,-2.56,USA
Scorpio Tankers,STNG,1080000000.0,18.54,1.87,Monaco
Bombay Burmah,BBTC.NS,1080000000.0,15.49,0.11,India
IDT Corporation,IDT,1080000000.0,41.95,1.23,USA
SMART Global Holdings,SGH,1070000000.0000001,44.5,-1.0,USA
Iamgold,IAG,1070000000.0000001,2.26,1.8,Canada
National Healthcare,NHC,1070000000.0000001,69.98,-1.98,USA
Arcos Dorados Holdings,ARCO,1070000000.0000001,5.12,-0.19,Uruguay
LexinFintech Holdings,LX,1070000000.0000001,5.89,2.97,China
Johnson Outdoors,JOUT,1070000000.0000001,105.8,-2.29,USA
TAV Airports Holding,TAVHL.IS,1070000000.0000001,2.96,0.69,Turkey
CoreCivic,CXW,1070000000.0000001,8.9,-0.56,USA
StoneX,INTL,1060000000.0,55.63,1.16,USA
AudioCodes,AUDC,1060000000.0,32.54,-0.73,Israel
Caverion,CAV1V.HE,1060000000.0,7.82,1.35,Finland
DouYu,DOYU,1060000000.0,3.29,6.47,China
eHealth,EHTH,1060000000.0,40.5,-0.88,USA
Azure Power,AZRE,1060000000.0,22.0,2.04,India
Zeal Network,TIMA.F,1050000000.0,47.19,-0.61,Germany
MarineMax,HZO,1050000000.0,48.52,-3.35,USA
Tupperware Brands,TUP,1050000000.0,21.12,-4.09,USA
Denny's,DENN,1040000000.0,16.34,-1.21,USA
Canaan,CAN,1040000000.0,6.11,10.29,China
Norwegian Air Shuttle,NAS.OL,1040000000.0,1.13,1.9,Norway
RPC,RES,1040000000.0,4.86,-0.21,USA
Hibbett Sports,HIBB,1040000000.0,70.74,-7.65,USA
Energy Fuels,UUUU,1040000000.0,7.02,9.86,USA
SPARC,SPARC.NS,1040000000.0,3.96,-0.71,India
Green Brick Partners,GRBK,1040000000.0,20.52,-3.16,USA
Indus Holding,INH.F,1030000000.0,38.66,0.0,Germany
Nürnberger Versicherung,NBG6.F,1030000000.0,89.97,0.0,Germany
Tecnoglass,TGLS,1030000000.0,21.73,0.51,Colombia
RPT Realty,RPT,1030000000.0,12.76,-2.67,USA
Prince Pipes And Fittings,PRINCEPIPE.NS,1030000000.0,9.4,0.72,India
Symphony Limited,SYMPHONY.NS,1030000000.0,14.36,-0.54,India
Republic Bank,RBCAA,1030000000.0,50.65,-1.34,USA
Precigen,PGEN,1030000000.0,4.99,-1.58,USA
Property For Industry,PFI.NZ,1020000000.0,2.05,1.02,New Zealand
Ready Capital,RC,1020000000.0,14.43,-1.5,USA
The Andersons,ANDE,1020000000.0,30.83,-1.07,USA
Aimco,AIV,1020000000.0,6.85,-2.84,USA
Summit Hotel Properties,INN,1020000000.0,9.63,-3.12,USA
SilverCrest Metals,SILV,1020000000.0,6.98,2.8,Canada
US Ecology,ECOL,1010000000.0,32.35,-3.43,USA
Opera,OPRA,1010000000.0,8.85,-1.56,Norway
Upland Software,UPLD,1010000000.0,33.44,-1.99,USA
Designer Brands,DBI,1010000000.0,13.93,-7.69,USA
OPTiM,3694.T,1010000000.0,18.46,1.37,Japan
AirAsia,AIABF,1010000000.0,0.23,6.98,Malaysia
Delta Corp,DELTACORP.NS,1010000000.0,3.8,7.03,India
Kayne Anderson Capital Advisors,KYN,1010000000.0,8.0,-0.5,USA
TomTom,TOM2.AS,1010000000.0,7.96,-0.72,Netherlands
East India Distilleries Parry,EIDPARRY.NS,1000000000.0,5.7,0.44,India
Phathom Pharmaceuticals,PHAT,1000000000.0,32.1,1.58,USA
Nexa Resources,NEXA,1000000000.0,7.6,4.4,Luxembourg
Delegat,DGL.NZ,1000000000.0,9.95,0.0,New Zealand
American Axle & Manufacturing,AXL,1000000000.0,8.81,-3.4,USA
CTS Corporation,CTS,1000000000.0,30.91,-1.65,USA
Immunovant,IMVT,990000000.0,8.69,-1.47,USA
LoveSac,LOVE,990000000.0,66.09,-3.31,USA
Smith & Wesson,SWBI,990000000.0,20.76,-3.4,USA
Zumiez,ZUMZ,990000000.0,39.76,-7.77,USA
Vaxart,VXRT,990000000.0,7.95,-0.87,USA
Cowen,COWN,990000000.0,34.31,-0.69,USA
Kaman,KAMN,990000000.0,35.67,0.11,USA
Finolex Cables,FINCABLES.NS,990000000.0,6.48,-1.32,India
Qep Resources,QEP,980000000.0,4.08,-4.45,USA
CEWE,CWC.F,980000000.0,136.53,0.0,Germany
Enento Group,ENENTO.HE,980000000.0,40.98,1.15,Finland
Magic Software,MGIC,980000000.0,20.0,0.86,Israel
Hikal,HIKAL.NS,980000000.0,7.95,-2.26,India
CEVA,CEVA,970000000.0,42.67,1.52,USA
Tata Teleservices,TTML.NS,970000000.0,0.5,4.95,India
NETGEAR,NTGR,970000000.0,31.91,-2.89,USA
Inogen,INGN,970000000.0,43.09,-2.64,USA
BJ's Restaurants,BJRI,970000000.0,41.76,-3.31,USA
Pampa Energía,PAM,970000000.0,17.47,0.11,Argentina
CAI International,CAI,970000000.0,55.91,0.0,USA
Chase Corporation,CCF,960000000.0,102.15,-3.27,USA
Sunlight REIT,0435.HK,960000000.0,0.58,-0.44,Hong Kong
VIP Industries,VIPIND.NS,960000000.0,6.82,-0.21,India
Punjab & Sind Bank,PSB.NS,960000000.0,0.24,0.28,India
TrueBlue,TBI,960000000.0,27.08,-3.39,USA
Flex Lng,FLNG,950000000.0,18.0,4.9,Bermuda
Dah Sing Financial,0440.HK,950000000.0,2.99,-0.43,Hong Kong
Kearny Financial,KRNY,950000000.0,12.43,-1.19,USA
TPG Real Estate Finance Trust,TRTX,950000000.0,12.38,-1.35,USA
Vanda Pharmaceuticals,VNDA,950000000.0,17.14,0.88,USA
IES Holdings,IESC,950000000.0,45.69,0.77,USA
Gannett,GCI,950000000.0,6.68,2.93,USA
Sunteck Realty,SUNTECK.NS,950000000.0,6.5,0.04,India
Rockley Photonics,RKLY,950000000.0,7.53,-7.15,UK
QuinStreet,QNST,950000000.0,17.56,-1.4,USA
Benchmark Electronics,BHE,950000000.0,26.71,-1.51,USA
Aktia Bank,AKTIA.HE,940000000.0,13.49,-0.17,Finland
Workhorse Group,WKHS,940000000.0,7.65,-1.16,USA
Electrica,ECEA.F,940000000.0,10.62,0.0,Romania
Par Pacific Holdings,PARR,940000000.0,15.72,1.09,USA
FibroGen,FGEN,940000000.0,10.22,-0.87,USA
Orient Electric,ORIENTELEC.NS,940000000.0,4.45,-0.53,India
Forrester Research,FORR,940000000.0,49.26,-3.41,USA
Global Medical REIT,GMRE,940000000.0,14.7,-1.41,USA
Ideanomics,IDEX,940000000.0,1.97,3.14,USA
Jindal Stainless (Hisar) ,JSLHISAR.NS,940000000.0,3.99,2.53,India
Third Point Reinsurance,TPRE,930000000.0,10.21,-2.76,Bermuda
Ten Square Games,1HQ.F,930000000.0,128.87,1.65,Poland
HCI Group,HCI,930000000.0,110.77,-0.83,USA
Gorman-Rupp,GRC,930000000.0,35.81,-1.51,USA
Bharat Dynamics,BDL.NS,930000000.0,5.09,-1.32,India
Viad,VVI,930000000.0,45.41,0.26,USA
sterling & wilson solar,SWSOLAR.NS,920000000.0,5.8,7.55,India
Syndax Pharmaceuticals,SNDX,920000000.0,19.11,-2.3,USA
International Seaways,INSW,920000000.0,18.22,1.33,USA
Forestar Group,FOR,920000000.0,18.63,-1.9,USA
Aegion,AEGN,920000000.0,29.99,0.0,USA
Contango Oil & Gas Company,MCF,910000000.0,4.57,-1.72,USA
Funko,FNKO,910000000.0,18.21,-2.52,USA
Washington Trust Bancorp,WASH,910000000.0,52.98,-1.19,USA
Heritage Financial,HFWA,910000000.0,25.5,-1.92,USA
Ellington Financial,EFC,910000000.0,18.29,-0.49,USA
Orbcomm,ORBC,910000000.0,11.49,0.0,USA
RAPT Therapeutics,RAPT,910000000.0,31.05,-4.02,USA
Shoe Carnival,SCVL,910000000.0,32.42,-7.66,USA
Geo Group,GEO,910000000.0,7.47,0.0,USA
Cera Sanitaryware,CERA.NS,910000000.0,70.22,-0.98,India
MMTC,MMTC.NS,910000000.0,0.61,0.56,India
Nam Tai Property,NTP,910000000.0,23.25,7.29,China
ADTRAN,ADTN,910000000.0,18.76,1.85,USA
Metlifecare,MET.NZ,910000000.0,4.27,0.0,New Zealand
Consolidated Communications,CNSL,900000000.0,9.19,-1.29,USA
Intersect ENT,XENT,900000000.0,27.2,0.0,USA
CorePoint Lodging,CPLG,900000000.0,15.5,0.78,USA
Allcargo Logistics,ALLCARGO.NS,900000000.0,3.68,1.58,India
Corporación América Airports,CAAP,900000000.0,5.63,0.72,Luxembourg
Jin Air,272450.KS,900000000.0,19.27,-2.98,S. Korea
Turning Point Brands,TPB,900000000.0,47.75,-0.69,USA
OneSpaWorld,OSW,900000000.0,9.97,2.05,Bahamas
HealthStream,HSTM,900000000.0,28.58,-0.52,USA
Nerdy,NRDY,900000000.0,9.99,-2.06,USA
Aaron's,AAN,890000000.0,27.54,-3.33,USA
Pegasus Airlines,PGSUS.IS,890000000.0,8.78,1.76,Turkey
Interface,TILE,890000000.0,15.15,-0.66,USA
ProPetro,PUMP,890000000.0,8.65,-1.82,USA
Dril-Quip,DRQ,890000000.0,25.18,2.82,USA
Lakeland Bancorp,LBAI,890000000.0,17.63,-1.73,USA
RITES,RITES.NS,890000000.0,3.71,0.57,India
Harmonic,HLIT,890000000.0,8.75,0.11,USA
Nicolet Bankshares,NCBS,880000000.0,74.18,-1.34,USA
ScanSource,SCSC,880000000.0,34.79,-3.23,USA
Norway Royal Salmon,NRS.OL,880000000.0,20.39,1.82,Norway
trivago,TRVG,880000000.0,2.47,0.41,Germany
QNB Finansleasing,QNBFL.IS,880000000.0,7.66,1.49,Turkey
Tactile Medical,TCMD,870000000.0,44.45,0.95,USA
CryoLife,CRY,870000000.0,22.29,-1.94,USA
ReconAfrica,0XD.F,870000000.0,4.88,-1.06,Canada
DoubleDown Interactive,DDI,870000000.0,17.61,-0.06,USA
Phibro Animal Health,PAHC,870000000.0,21.54,-0.28,USA
Cars.com,CARS,870000000.0,12.65,-1.02,USA
Genesco,GCO,870000000.0,57.73,-7.23,USA
Northfield Bancorp,NFBK,870000000.0,17.16,-1.21,USA
Heidrick & Struggles,HSII,870000000.0,44.63,-0.62,USA
OYAK Çimento,OYAKC.IS,860000000.0,0.75,-1.34,Turkey
Elgi Equipments,ELGIEQUIP.NS,860000000.0,2.74,-1.19,India
Clarus,CLAR,860000000.0,25.63,-3.17,USA
Partner Communications,PTNR,860000000.0,4.63,1.85,Israel
Praj Industries,PRAJIND.NS,860000000.0,4.7,-1.08,India
Mind Medicine,MNMD,860000000.0,2.33,-0.85,USA
Ryerson,RYI,850000000.0,22.27,-1.37,USA
HomeStreet Bank,HMST,850000000.0,41.15,-0.44,USA
SEACOR Holdings,CKH,850000000.0,41.5,0.22,USA
Caleres,CAL,850000000.0,22.22,-9.42,USA
Zogenix,ZGNX,840000000.0,15.19,0.73,USA
NOW Inc.,DNOW,840000000.0,7.65,-2.05,USA
Hyster-Yale Materials Handling,HY,840000000.0,50.26,-3.09,USA
AEye,LIDR,840000000.0,5.47,-6.97,USA
Genco Shipping & Trading,GNK,840000000.0,20.13,6.0,USA
Despegar,DESP,840000000.0,12.03,1.6,Argentina
Protagonist Therapeutics,PTGX,840000000.0,17.72,0.85,USA
Triple-S Management,GTS,840000000.0,35.37,0.03,USA
GreenTree Hospitality,GHG,840000000.0,8.16,2.64,China
Hailiang Education,HLG,830000000.0,32.5,-0.12,China
Pexip,PEXIP.OL,830000000.0,8.11,-1.45,Norway
Cutera,CUTR,830000000.0,46.6,0.39,USA
Douglas Dynamics,PLOW,830000000.0,36.3,-1.57,USA
Meridian Bioscience,VIVO,830000000.0,19.24,-1.13,USA
Photronics,PLAB,830000000.0,13.63,0.52,USA
Ebix,EBIX,830000000.0,26.93,0.19,USA
Foundation Building Materials,FBM,830000000.0,19.24,0.0,USA
Alpha & Omega Semiconductor,AOSL,820000000.0,31.37,0.48,USA
Veritone,VERI,820000000.0,23.89,2.71,USA
WisdomTree Investments,WETF,820000000.0,5.67,-2.24,USA
CNX Midstream Partners,CNXM,820000000.0,9.16,-6.34,USA
ORIC Pharmaceuticals,ORIC,820000000.0,20.91,1.75,USA
Kalpataru Power Transmission,KALPATPOWR.NS,810000000.0,5.49,0.69,India
Armada Hoffler Properties,AHH,810000000.0,13.37,-1.04,USA
The First Bancshares,FBMS,810000000.0,38.78,-1.2,USA
CarParts.com,PRTS,810000000.0,15.61,-0.7,USA
Mitek Systems,MITK,810000000.0,18.5,2.27,USA
QCR Holdings,QCRH,810000000.0,51.44,-1.59,USA
Adaptimmune Therapeutics,ADAP,800000000.0,5.17,-0.58,UK
Brooge Energy,BROG,800000000.0,9.17,1.72,United Arab Emirates
Univest,UVSP,800000000.0,27.39,-1.72,USA
Hinduja Global Solutions,HGS.NS,800000000.0,38.54,-0.08,India
Horizon Bancorp,HBNC,790000000.0,18.17,-1.62,USA
JCI Hitachi India,JCHAC.NS,790000000.0,29.1,0.68,India
Amneal Pharmaceuticals,AMRX,790000000.0,5.34,-2.91,USA
Cathay Real Estate Development,2501.TW,790000000.0,0.69,-0.78,Taiwan
VBI Vaccines,VBIV,790000000.0,3.11,0.65,USA
Simulations Plus,SLP,790000000.0,39.5,0.15,USA
Nabors Industries,NBR,790000000.0,96.48,1.59,Bermuda
Carriage Services,CSV,790000000.0,44.59,-0.42,USA
Tejas Networks,TEJASNET.NS,790000000.0,6.98,4.99,India
Party City,PRTY,790000000.0,7.1,-14.15,USA
BBVA Argentina,BBAR,790000000.0,3.89,2.64,Argentina
BEML,BEML.NS,790000000.0,19.07,-1.31,India
FDC India,FDC.NS,790000000.0,4.7,-0.16,India
Diebold Nixdorf,DBD,790000000.0,10.11,-2.22,USA
American Software,AMSWA,790000000.0,23.75,-0.88,USA
NAPCO Security Technologies,NSSC,790000000.0,43.08,-1.53,USA
Heidelbergcement India,HEIDELBERG.NS,780000000.0,3.48,0.53,India
PBF Logistics,PBFX,780000000.0,12.62,-1.25,USA
Torchlight Energy Resources,TRCH,780000000.0,4.95,4.21,USA
Gaotu Techedu,GOTU,780000000.0,3.07,9.64,China
SpartanNash,SPTN,780000000.0,21.9,-2.41,USA
Neenah,NP,780000000.0,46.61,-2.61,USA
Cross Country Healthcare,CCRN,780000000.0,21.24,-1.07,USA
Mesoblast,MESO,780000000.0,6.01,0.84,Australia
Mister Spex,MRX.F,780000000.0,22.56,-2.17,Germany
Rite Aid,RAD,780000000.0,14.2,-1.73,USA
Winmark,WINA,780000000.0,215.03,-2.34,USA
Earthstone Energy,ESTE,780000000.0,9.2,0.11,USA
Kiniksa Pharmaceuticals,KNSA,780000000.0,11.39,0.0,Bermuda
Suzlon,SUZLON.NS,780000000.0,0.09,0.78,India
Geopark,GPRK,770000000.0,12.76,3.32,Chile
City Office REIT,CIO,770000000.0,17.86,-1.33,Canada
Lands' End,LE,770000000.0,23.54,-5.12,USA
HarborOne Bancorp,HONE,770000000.0,14.04,-0.28,USA
Cara Therapeutics,CARA,770000000.0,15.45,0.59,USA
Sportsman's Warehouse,SPWH,770000000.0,17.6,-0.85,USA
SurModics,SRDX,770000000.0,55.6,-1.0,USA
Allegiance Bancshares,ABTX,770000000.0,38.15,-1.29,USA
Ocular Therapeutix,OCUL,760000000.0,10.0,-1.38,USA
Jeju Air,089590.KS,760000000.0,19.19,-1.94,S. Korea
National Western Life,NWLI,760000000.0,210.59,-2.58,USA
Innoviz,INVZ,760000000.0,5.76,0.17,Israel
Universal Health Realty Income Trust,UHT,760000000.0,55.27,-1.64,USA
Blucora,BCOR,750000000.0,15.59,-3.88,USA
Network18,NETWORK18.NS,750000000.0,0.73,4.52,India
Wabash National,WNC,750000000.0,15.13,-2.7,USA
Endo International,ENDP,750000000.0,3.24,-3.86,Ireland
Aarti Drugs,AARTIDRUGS.NS,750000000.0,8.15,-0.4,India
ChannelAdvisor,ECOM,750000000.0,25.23,-2.21,USA
CSB Bank,CSBBANK.NS,750000000.0,4.34,1.52,India
Religare,RELIGARE.NS,750000000.0,2.36,-1.35,India
Community Trust Bancorp,CTBI,750000000.0,42.1,-1.61,USA
Orthofix Medical,OFIX,750000000.0,38.12,0.13,USA
Infibeam Avenues,INFIBEAM.NS,750000000.0,0.56,0.97,India
The Manitowoc Company,MTW,740000000.0,21.42,-2.99,USA
ATI Physical Therapy,ATIP,740000000.0,3.8,-0.78,USA
UB Properties,UBA,740000000.0,18.93,-2.12,USA
Polyplex,POLYPLEX.NS,740000000.0,23.71,1.82,India
Kelly Services,KELYA,740000000.0,18.88,-3.18,USA
AnaptysBio,ANAB,740000000.0,27.12,2.22,USA
ATN International,ATNI,740000000.0,46.85,0.54,USA
Zevia,ZVIA,740000000.0,11.51,4.54,USA
First Mid-Illinois Bancshares,FMBH,740000000.0,41.06,-0.02,USA
Transportadora de Gas del Sur,TGS,740000000.0,4.93,0.2,Argentina
New Senior Investment Group,SNR,740000000.0,8.82,-1.12,USA
Perdoceo Education,PRDO,740000000.0,10.56,-1.03,USA
Affimed,AFMD,730000000.0,6.18,5.64,Germany
BSE,BSE.NS,730000000.0,16.39,-1.24,India
Insteel Industries,IIIN,730000000.0,38.05,-3.16,USA
MoneyGram,MGI,730000000.0,8.02,-0.5,USA
CRA International,CRAI,730000000.0,99.34,-1.14,USA
Liquidity Services,LQDT,730000000.0,21.61,-6.85,USA
Eagle Pharmaceuticals,EGRX,730000000.0,55.78,1.25,USA
Independence Holding Company,IHC,720000000.0,49.59,-0.18,USA
Movado,MOV,720000000.0,31.49,-7.68,USA
PlayWay,6P5.F,720000000.0,109.77,-1.51,Poland
PAVmed,PAVM,720000000.0,8.54,2.52,USA
Mohawk Group,MWK,720000000.0,23.7,-3.5,USA
TCG BDC,CGBD,720000000.0,13.41,-0.89,USA
New Gold,NGD,720000000.0,1.06,0.95,Canada
Granite Point Mortgage Trust,GPMT,720000000.0,13.17,-1.13,USA
Hingham Institution for Savings,HIFS,720000000.0,336.7,-1.34,USA
Strides Pharma,STAR.NS,710000000.0,7.94,-0.06,India
Village Farms International,VFF,710000000.0,8.34,1.21,Canada
Quanex Building Products,NX,710000000.0,21.41,-2.24,USA
GAMCO Investors,GBL,710000000.0,26.38,-3.9,USA
Curis,CRIS,710000000.0,7.83,0.77,USA
Digi International,DGII,710000000.0,21.02,-0.24,USA
Camden National Bank,CAC,710000000.0,47.9,-1.42,USA
CEAT,CEATLTD.NS,710000000.0,17.69,-0.71,India
Sequent Scientific,SEQUENT.NS,710000000.0,2.88,-2.84,India
Mahindra Logistics,MAHLOG.NS,710000000.0,9.94,0.66,India
Pzena Investment Management,PZN,710000000.0,9.84,-1.01,USA
SP Plus Corporation,SP,710000000.0,30.67,-3.64,USA
Uranium Energy,UEC,710000000.0,3.05,5.54,USA
Brookfield Property REIT,BPYU,710000000.0,18.52,-0.86,USA
JSW Holdings,JSWHL.NS,700000000.0,63.9,1.04,India
Ares Commercial Real Estate,ACRE,700000000.0,15.08,-0.92,USA
Bitfarms,BITF,700000000.0,4.25,2.41,Canada
Myers Industries,MYE,700000000.0,19.57,-2.25,USA
DRDGOLD,DRD,700000000.0,8.09,2.53,South Africa
Collegium Pharmaceutical,COLL,700000000.0,19.74,-0.5,USA
Heritage-Crystal Clean,HCCI,700000000.0,28.98,-3.3,USA
TriState Capital Holdings,TSC,700000000.0,21.15,-1.86,USA
Heritage Commerce,HTBK,700000000.0,11.63,-0.94,USA
Flushing Financial Corp,FFIC,690000000.0,22.6,-1.48,USA
MBIA,MBI,690000000.0,12.85,2.31,USA
Endeavour Silver,EXK,690000000.0,4.09,3.54,Canada
AMMO,POWW,690000000.0,6.15,-0.49,USA
Banco Latinoamericano de Comercio Exterior,BLX,690000000.0,17.54,0.52,Panama
Lexicon Pharmaceuticals,LXRX,690000000.0,4.81,-2.04,USA
Inseego,INSG,690000000.0,6.66,0.6,USA
OrganiGram Holdings,OGI,690000000.0,2.3,-0.43,Canada
Dynamic Materials Corporation,BOOM,690000000.0,36.91,0.19,USA
Argan,AGX,680000000.0,43.67,-1.38,USA
Precision BioSciences,DTIL,680000000.0,11.54,-0.43,USA
Bangkok Airways,BA.BK,680000000.0,0.33,0.0,Thailand
Veru,VERU,680000000.0,8.53,0.12,USA
Silvercorp Metals,SVM,670000000.0,3.81,2.42,Canada
Eagle Bulk Shipping,EGLE,670000000.0,50.42,3.64,USA
Unitil Corporation,UTL,670000000.0,42.78,-2.13,USA
Mersana Therapeutics,MRSN,670000000.0,9.43,1.07,USA
Calavo Growers,CVGW,670000000.0,38.24,-1.24,USA
Bluegreen Vacations,BXG,670000000.0,9.32,-2.51,USA
Orchid Island Capital,ORC,670000000.0,4.89,-0.61,USA
Groupon,GRPN,670000000.0,22.81,-1.68,USA
Conn's,CONN,670000000.0,22.83,-6.2,USA
Argonaut Gold,AR.TO,670000000.0,2.16,1.85,USA
Frank's International,FI,670000000.0,2.94,1.38,Netherlands
CIRCOR International,CIR,660000000.0,33.01,-3.17,USA
Comtech Telecommunications,CMTL,660000000.0,25.61,1.11,USA
Koppers,KOP,660000000.0,31.26,-2.4,USA
Vuzix,VUZI,660000000.0,10.46,0.48,USA
Tutor Perini,TPC,660000000.0,12.98,-1.67,USA
Ethan Allen,ETH,660000000.0,26.3,-1.13,USA
Ambac,AMBC,660000000.0,14.32,-0.07,USA
Valhi,VHI,650000000.0,23.33,-2.63,USA
Tabula Rasa HealthCare,TRHC,650000000.0,26.21,-7.32,USA
Axogen,AXGN,650000000.0,15.8,-3.25,USA
AppHarvest,APPH,650000000.0,6.52,1.72,USA
Chalet Hotels,CHALET.NS,650000000.0,3.18,-1.65,India
Sterling Construction,STRL,650000000.0,22.67,-1.48,USA
BioSpecifics Technologies,BSTC,650000000.0,88.53,0.15,USA
Seritage Growth Properties,SRG,640000000.0,14.83,-1.26,USA
IFB Industries,IFBIND.NS,640000000.0,15.91,-0.77,India
International Money Express,IMXI,640000000.0,16.7,2.64,USA
Naked Brand,NAKD,640000000.0,0.71,-0.87,New Zealand
Preferred Apartment Communities,APTS,640000000.0,12.23,-2.24,USA
Pulse Biosciences,PLSE,630000000.0,21.6,-3.01,USA
Rafael Holdings,RFL,630000000.0,30.73,-7.5,USA
Chuy's,CHUY,630000000.0,31.53,-3.25,USA
Owlet,OWLT,630000000.0,5.59,-1.76,USA
Glatfelter,GLT,620000000.0,14.1,-4.6,USA
Antares Pharma,ATRS,620000000.0,3.64,-0.55,USA
Newtek,NEWT,620000000.0,27.73,0.65,USA
GAN,GAN,620000000.0,14.87,0.68,UK
TORM,TRMD,620000000.0,7.74,1.31,UK
Vinco Ventures,BBIG,620000000.0,6.41,6.83,USA
Suprajit Engineering,SUPRAJIT.NS,620000000.0,4.36,0.61,India
Sudarshan Chemical,SUDARSCHEM.NS,620000000.0,8.85,-0.29,India
Rigel Pharmaceuticals,RIGL,620000000.0,3.63,0.0,USA
Reliance Power,RPOWER.NS,620000000.0,0.18,-1.1,India
Bank of Marin Bancorp,BMRC,610000000.0,37.75,-1.23,USA
Bank Mayapada Internasional,MAYA.JK,610000000.0,0.05,0.67,Indonesia
El Pollo Loco,LOCO,610000000.0,16.9,-1.57,USA
Safe Bulkers,SB,610000000.0,5.17,7.48,Monaco
Havertys,HVT,610000000.0,33.71,-6.36,USA
RCI Hospitality Holdings,RICK,610000000.0,68.51,-1.74,USA
BeyondSpring,BYSI,610000000.0,15.76,0.25,USA
Sify,SIFY,610000000.0,3.38,-1.17,India
TrustCo Bank,TRST,610000000.0,31.97,-1.27,USA
Hanmi Financial,HAFC,610000000.0,20.06,-0.99,USA
Varroc,VARROC.NS,610000000.0,4.02,-0.68,India
Phillips Carbon Black,PHILIPCARB.NS,610000000.0,3.55,-1.35,India
Verso Corporation,VRS,600000000.0,20.75,-2.31,USA
Godawari Power & Ispat,GPIL.NS,600000000.0,17.29,0.29,India
Cellcom Israel,CEL,600000000.0,3.77,0.0,Israel
SpiceJet,SPICEJET.NS,600000000.0,1.01,-0.47,India
MRC Global,MRC,600000000.0,7.34,-1.21,USA
Clearfield,CLFD,600000000.0,44.15,1.35,USA
Entravision Communications,EVC,600000000.0,7.1,-1.8,USA
TimkenSteel,TMST,600000000.0,13.08,-0.53,USA
Hovnanian Enterprises,HOV,600000000.0,96.39,-2.46,USA
Xponential Fitness,XPOF,600000000.0,12.69,-0.24,USA
Ducommun,DCO,600000000.0,50.35,-0.89,USA
Regional Management,RM,590000000.0,58.18,-0.97,USA
Cass Information Systems,CASS,590000000.0,41.85,-1.13,USA
Jindal Poly Films,JINDALPOLY.NS,590000000.0,13.67,-1.15,India
Dynex Capital,DX,590000000.0,17.28,-0.86,USA
U.S. Silica,SLCA,590000000.0,7.99,-0.75,USA
Engineers India,ENGINERSIN.NS,590000000.0,1.06,0.06,India
Hathway,HATHWAY.NS,590000000.0,0.34,4.17,India
BIT Mining (500.com),BTCM,590000000.0,8.17,7.36,China
Cellectis,CLLS,590000000.0,12.61,-0.16,France
